Time,data
2133779836.4339397,-0.27001680717809495
2133779836.4753764,-0.3094238521474498
2133779836.5140111,-0.2912228498118851
2133779836.553701,-0.2912228498118851
2133779836.5955324,-0.24889337939705297
2133779836.6332464,-0.2262720855269734
2133779836.675154,-0.21897995620528357
2133779836.7141166,-0.25465420604806294
2133779836.7529023,-0.25401788373105094
2133779836.7934427,-0.23772831379145218
2133779836.8330638,-0.2209796927849741
2133779836.8730135,-0.24670967289537832
2133779836.9137256,-0.23055413994905752
2133779836.9544637,-0.23055413994905752
2133779836.9945817,-0.22033189260353986
2133779837.033151,-0.19667862855927412
2133779837.0734751,-0.18718439601229675
2133779837.1142023,-0.1654443388671445
2133779837.1552024,-0.14960612208900803
2133779837.1940072,-0.1147110282286556
2133779837.2346158,-0.08384010293480684
2133779837.2760108,-0.05757315238201581
2133779837.3136454,-0.030367837584576
2133779837.3541327,-0.009487534281111737
2133779837.3943791,-0.02899780025960906
2133779837.43385,0.03240736112369926
2133779837.475538,0.07353300208071906
2133779837.5147026,0.06521643862527643
2133779837.556923,0.0903652897659103
2133779837.593759,0.11541470488949061
2133779837.6332083,0.14489756321013048
2133779837.67441,0.14489756321013048
2133779837.7139714,0.17856579826867094
2133779837.7541516,0.20721843698762307
2133779837.7935755,0.21889718083311774
2133779837.8339632,0.24204460906429853
2133779837.874912,0.36
2133779837.9143403,0.36
2133779837.9540753,0.36
2133779837.9945378,0.36
2133779838.0337582,0.36
2133779838.074649,0.36
2133779838.1140237,0.36
2133779838.1535952,0.36
2133779838.1938372,0.36
2133779838.2336216,0.36
2133779838.2756402,0.36
2133779838.3130636,0.36
2133779838.35485,0.36
2133779838.3937745,0.36
2133779838.432144,0.36
2133779838.4719906,0.36
2133779838.5116057,0.36
2133779838.5519342,0.36
2133779838.5921755,0.36
2133779838.6317155,0.36
2133779838.671923,0.36
2133779838.7120755,0.36
2133779838.7517066,0.36
2133779838.7919328,0.36
2133779838.8317437,0.36
2133779838.871792,0.36
2133779838.9130077,0.36
2133779838.9525843,0.36
2133779838.9917188,0.36
2133779839.0319645,0.36
2133779839.0721538,0.36
2133779839.1119833,0.36
2133779839.1532667,0.36
2133779839.1918573,0.36
2133779839.2318928,0.36
2133779839.2718043,0.36
2133779839.3122458,0.3538433694230429
2133779839.3519416,0.3538433694230429
2133779839.3920753,0.349044807996066
2133779839.4316652,0.34493824656368
2133779839.4742997,0.34132588654885215
2133779839.5138152,0.3275626531117361
2133779839.5542924,0.30186605383146087
2133779839.5933008,0.2490890188225714
2133779839.6329298,0.22324817598589647
2133779839.6734843,0.18925663448008231
2133779839.7146363,0.29675824636559656
2133779839.7549877,0.29675824636559656
2133779839.793531,0.273540977752114
2133779839.834422,0.2547250536356353
2133779839.8731048,0.23197514590474766
2133779839.9151568,0.21731301079977833
2133779839.9536176,0.2353034413182
2133779839.9943576,0.22024270605530538
2133779840.0341735,0.22024270605530538
2133779840.0735922,0.21362032207064463
2133779840.114328,0.1790960330717551
2133779840.1535645,0.15417679315757532
2133779840.1946888,0.16059702405616852
2133779840.2341316,0.14490036670163597
2133779840.2740474,0.1171347255500152
2133779840.313602,0.09609934328546527
2133779840.355004,0.07716173853859157
2133779840.394305,0.07716173853859157
2133779840.4332685,0.03971959674156286
2133779840.4737945,-0.0057242144936412165
2133779840.5137706,-0.02917055563197793
2133779840.55382,-0.053010680603658156
2133779840.593671,-0.02175382699496778
2133779840.6335845,-0.043017468237078665
2133779840.6742418,-0.06938662765105544
2133779840.7133968,-0.145488279997814
2133779840.7536132,-0.145488279997814
2133779840.793262,-0.1992614909556985
2133779840.832938,-0.18753140681168046
2133779840.8741105,-0.18753140681168046
2133779840.9135165,-0.21473390088512537
2133779840.9536626,-0.24981827473051404
2133779840.9957907,-0.36
2133779841.0333357,-0.36
2133779841.0744095,-0.36
2133779841.1149583,-0.36
2133779841.154309,-0.36
2133779841.1945062,-0.36
2133779841.2335312,-0.36
2133779841.27302,-0.36
2133779841.3140693,-0.36
2133779841.3532822,-0.36
2133779841.3949075,-0.36
2133779841.4333498,-0.36
2133779841.4750886,-0.36
2133779841.5134463,-0.36
2133779841.552769,-0.36
2133779841.593211,-0.36
2133779841.6329873,-0.36
2133779841.6749532,-0.36
2133779841.7144687,-0.36
2133779841.7530372,-0.36
2133779841.7948456,-0.36
2133779841.833574,-0.36
2133779841.8735485,-0.36
2133779841.9156947,-0.36
2133779841.953217,-0.36
2133779841.9934337,-0.36
2133779842.0358655,-0.36
2133779842.074516,-0.36
2133779842.1146147,-0.36
2133779842.1534882,-0.36
2133779842.193307,-0.36
2133779842.2335198,-0.36
2133779842.2746413,-0.36
2133779842.315339,-0.36
2133779842.3540316,-0.36
2133779842.3939602,-0.36
2133779842.4335475,-0.36
2133779842.4738858,-0.3465612967108272
2133779842.51313,-0.3389144268708504
2133779842.5536613,-0.3432096528662031
2133779842.5941083,-0.3440497096273087
2133779842.6343546,-0.3389353050385651
2133779842.6734946,-0.3146563966074514
2133779842.7134001,-0.29247889577549047
2133779842.7538898,-0.3281003451630974
2133779842.7935162,-0.3103104193328575
2133779842.8330848,-0.27020683917902205
2133779842.873942,-0.2765139723770397
2133779842.9135754,-0.2765139723770397
2133779842.9534154,-0.23369616268407842
2133779842.9943635,-0.21508434489908776
2133779843.0335367,-0.28750884015592326
2133779843.073611,-0.27750762354458813
2133779843.11514,-0.2546445899151758
2133779843.1534812,-0.24934376874302636
2133779843.1935847,-0.2437565044128479
2133779843.233942,-0.23106515371503694
2133779843.275125,-0.24621897131889892
2133779843.3151896,-0.2131978003921109
2133779843.3533096,-0.2131978003921109
2133779843.3940132,-0.20976756131111846
2133779843.4331799,-0.19458901026547681
2133779843.4738421,-0.19458901026547681
2133779843.5146213,-0.17173042511793873
2133779843.5536146,-0.1443145592233169
2133779843.5930614,-0.11640048291447336
2133779843.63554,-0.1070866300628073
2133779843.6735568,-0.09717284918171187
2133779843.7138233,-0.07367763162735982
2133779843.7529602,-0.03650973294639087
2133779843.7932267,-0.04743975145358742
2133779843.8328042,-0.005614377518708635
2133779843.8735554,-0.005614377518708635
2133779843.9142241,0.01925742028545485
2133779843.953979,0.06069840614721944
2133779843.993281,0.10304746540055629
2133779844.0333352,0.10509714790011761
2133779844.0733597,0.12960019595792796
2133779844.1136339,0.15747175383134424
2133779844.1535501,0.19876367922550311
2133779844.1933334,0.2301598012080782
2133779844.2341733,0.36
2133779844.2747161,0.36
2133779844.3136723,0.36
2133779844.353684,0.36
2133779844.3934612,0.36
2133779844.4339917,0.36
2133779844.4747722,0.36
2133779844.5136447,0.36
2133779844.5532699,0.36
2133779844.5931504,0.36
2133779844.6336896,0.36
2133779844.6733716,0.36
2133779844.7137246,0.36
2133779844.7532294,0.36
2133779844.7933917,0.36
2133779844.833932,0.36
2133779844.8734992,0.36
2133779844.9147441,0.36
2133779844.9533074,0.36
2133779844.9933732,0.36
2133779845.0344875,0.36
2133779845.0747068,0.36
2133779845.1136365,0.36
2133779845.1529078,0.36
2133779845.19406,0.36
2133779845.2333622,0.36
2133779845.2754967,0.36
2133779845.3139195,0.36
2133779845.3539329,0.36
2133779845.3938417,0.36
2133779845.4331353,0.36
2133779845.4747434,0.36
2133779845.5136166,0.36
2133779845.5550156,0.36
2133779845.5937417,0.36
2133779845.6346388,0.34469567013491725
2133779845.6728704,0.3465589317599566
2133779845.714925,0.3435033769909406
2133779845.753248,0.3435033769909406
2133779845.7937877,0.34317113166520885
2133779845.8335085,0.3160453796228387
2133779845.873069,0.3160453796228387
2133779845.9125826,0.2920082664895461
2133779845.9535825,0.32635281434760854
2133779845.994494,0.3057359597733114
2133779846.0331151,0.2993996693407035
2133779846.0730257,0.3106994114585823
2133779846.113188,0.29404396971910757
2133779846.1531131,0.27010266834706165
2133779846.1934385,0.27010266834706165
2133779846.2336266,0.2776003892001272
2133779846.2735782,0.2776003892001272
2133779846.3129733,0.2623270653230274
2133779846.3547645,0.269468202830479
2133779846.3948853,0.24888849048599354
2133779846.4335372,0.24156837606135273
