Time,x,y,z,w
2133645568.954443,-0.5455946856188139,-0.36371095034115075,-0.5609431089739619,-0.35998301588088555
2133645568.9945807,-0.5603602088084971,-0.36240006489025967,-0.568906467046463,-0.35998682968321366
2133645569.0345504,-0.5649662523770683,-0.3624739324204212,-0.5768508256874688,-0.35998991760169885
2133645569.0746498,-0.5787171300519741,-0.3627582659127103,-0.584772313261137,-0.359992391612946
2133645569.114446,-0.5866368142485318,-0.36340648589732816,-0.5927160475323412,-0.3599943613672574
2133645569.1543357,-0.5954116530439808,-0.36353571172167476,-0.6006801343231435,-0.35999590685600596
2133645569.1943579,-0.5997320466250702,-0.3635321707513187,-0.6086120255373928,-0.3599970926461923
2133645569.235295,-0.6064273464416379,-0.36367291337573804,-0.6165587521453164,-0.3599979913323085
2133645569.275071,-0.6065865365334644,-0.3636676802794438,-0.6245181642087996,-0.3599986571422642
2133645569.3156507,-0.6306729975505764,-0.36329266606607535,-0.6324880340657812,-0.3599991372245568
2133645569.3555293,-0.6421054984752443,-0.3625042490592626,-0.6404124938970092,-0.359999470311844
2133645569.395317,-0.6363501735348077,-0.3642820024871245,-0.6483412123944708,-0.35999969398693366
2133645569.4355493,-0.6437386919422274,-0.36342888665499673,-0.6562717235900771,-0.3599998366496279
2133645569.4752333,-0.6538069607051502,-0.3617725141346946,-0.6642014896327315,-0.3599999216603776
2133645569.5149443,-0.6619444260489825,-0.359174621002552,-0.6721279023165502,-0.35999996777385845
2133645569.5549953,-0.667893794828055,-0.3570481913716183,-0.6800482847497471,-0.3599999895556002
2133645569.5964437,-0.6734368424877174,-0.3546728635497328,-0.6880180304795719,-0.3599999978120705
2133645569.6356354,-0.6752191847322017,-0.3544888890401192,-0.6959777405328641,-0.35999999982977043
2133645569.6748629,-0.6820680639077477,-0.35104576024608397,-0.703924547706851,-0.3599999999999664
2133645569.7154326,-0.6884929476147676,-0.34591001083091505,-0.705,-0.36
2133645569.755017,-0.6907628713994551,-0.34359162936837095,-0.7049999999999672,-0.35205212058834606
2133645569.7968557,-0.6940423700863902,-0.34005350594825207,-0.704999999998902,-0.344101287332712
2133645569.8358953,-0.6960327941936018,-0.3381775460092395,-0.7049999999912299,-0.3361536367904624
2133645569.875231,-0.7060784369915108,-0.3216521566046994,-0.7049999999611587,-0.32821513270446645
2133645569.9155314,-0.7060784369915108,-0.3216521566046994,-0.7049999998754802,-0.3202915557353294
2133645569.9551795,-0.7099279496188142,-0.30995751324366416,-0.7049999996729069,-0.3123402338684021
2133645569.9953218,-0.7114252150058193,-0.3037546233209615,-0.7049999992552377,-0.30441690020938156
2133645570.0350544,-0.7091534979166789,-0.3075001060766097,-0.7049999984665611,-0.29648054085016035
