Time,x,y,z,w
2133646225.998743,-0.1401827038813166,0.34040667687178616,-0.1655491962514879,0.3522829380179423
2133646226.0387845,-0.12327303804984946,0.32820759809695244,-0.1421507399845558,0.34811727094975803
2133646226.0784647,-0.12327303804984946,0.32820759809695244,-0.11911538741295442,0.3422824479549812
2133646226.1184974,-0.09404202402548567,0.3040271655435105,-0.09674043925528265,0.33427053587420663
2133646226.1585062,-0.07363524897947193,0.2808357394552683,-0.07554919629944189,0.3235133672801384
2133646226.1990333,-0.06768270840731128,0.27229695080147054,-0.056324264169553724,0.3095387240601805
2133646226.2392662,-0.06677269200942526,0.2739690481871865,-0.039968434507682976,0.2922986548414688
2133646226.2791305,-0.04300859025294135,0.2290695846061115,-0.027052923323310413,0.2723527226182037
2133646226.3196852,-0.04300859025294135,0.2290695846061115,-0.017523134179444726,0.2505848463129298
2133646226.359767,-0.029036075701695863,0.2021164297725062,-0.010860038072844731,0.22777650709648
2133646226.3996305,-0.023144558302823248,0.17914694912011297,-0.006405722241834644,0.2044375122273042
2133646226.4395635,-0.023144558302823248,0.17914694912011297,-0.003556963253024388,0.18084106941016476
2133646226.479642,-0.007584286513079741,0.1463260804363533,-0.001826295912386781,0.1571422278872299
2133646226.5192003,-0.00043749873211940127,0.11248555531957471,-0.0008405497384302993,0.13340196514956768
2133646226.559189,0.0010154440819668542,0.09971020555520327,-0.0003300639206587722,0.10964636605022818
2133646226.5995095,0.008352254224234357,0.06630399012607002,-0.00010174106079895967,0.08588624877334794
2133646226.6395037,0.012135742755577827,0.027696943433523025,-2.0932087431691273e-05,0.06211905103960152
2133646226.6797931,0.012135742755577827,0.027696943433523025,-1.934903482881719e-06,0.03835861602812
2133646226.71912,0.016009406941301596,-0.025408854263229252,-1.5688748153519783e-08,0.014595704486054458
2133646226.7594898,0.023719932330866444,-0.04334819423000569,1.4760532400470575e-09,-0.009167543960832199
2133646226.8000062,0.023719932330866444,-0.04334819423000569,8.713507761175234e-07,-0.03293165984364052
2133646226.8393266,0.027011562595048777,-0.08189710013457852,1.2835045004283703e-05,-0.05669626599529636
