Time,data
2133646225.8792233,0.3768194485575034
2133646225.918723,0.36277353895777975
2133646225.9583373,0.3511778387370018
2133646225.9985461,0.34040667687178616
2133646226.0384436,0.32820759809695244
2133646226.0782347,0.32820759809695244
2133646226.1182194,0.3040271655435105
2133646226.1583107,0.2808357394552683
2133646226.1985633,0.27229695080147054
2133646226.2386346,0.2739690481871865
2133646226.2787645,0.2290695846061115
2133646226.319288,0.2290695846061115
2133646226.3590443,0.2021164297725062
2133646226.3994088,0.17914694912011297
2133646226.4391227,0.17914694912011297
2133646226.4791431,0.1463260804363533
2133646226.5188472,0.11248555531957471
2133646226.559137,0.09971020555520327
2133646226.5992358,0.06630399012607002
2133646226.6389885,0.027696943433523025
2133646226.6791131,0.027696943433523025
2133646226.7190633,-0.025408854263229252
2133646226.75901,-0.04334819423000569
2133646226.7987916,-0.04334819423000569
2133646226.8388333,-0.08189710013457852
2133646226.8789601,-0.14018125444592344
2133646226.9191203,-0.15228937718213864
2133646226.9592283,-0.17603756602368603
2133646226.9989219,-0.1875718139524829
2133646227.0387616,-0.1875718139524829
2133646227.0788643,-0.23802789405828906
2133646227.1194322,-0.25171613994977116
2133646227.1590078,-0.27119205661320844
2133646227.1989174,-0.2793195243679486
2133646227.2390885,-0.30581100348964596
2133646227.2795138,-0.3281822101489311
2133646227.3188906,-0.3281822101489311
2133646227.3592699,-0.3509702807638233
2133646227.398766,-0.4006659711316578
2133646227.4391322,-0.4006659711316578
2133646227.4790134,-0.4091460230790881
2133646227.5190828,-0.3886660591398561
2133646227.5591042,-0.39332480968180084
2133646227.5989566,-0.394200578380256
2133646227.6391935,-0.3969839215265203
2133646227.6791086,-0.39623549485903975
2133646227.718916,-0.39324743129001305
2133646227.758953,-0.39390374420358454
2133646227.7990592,-0.3889036583764176
2133646227.8388553,-0.38554200659510174
2133646227.8792431,-0.38765796003096653
2133646227.9195886,-0.38769776959145064
2133646227.9593735,-0.37575434237725336
2133646228.0000377,-0.36579350685301804
2133646228.0394506,-0.3649555338799053
2133646228.0791287,-0.356161122358581
2133646228.118847,-0.3465311357142986
2133646228.1592247,-0.3267175401586764
2133646228.1989613,-0.3267175401586764
2133646228.2387705,-0.30210685696982786
2133646228.27873,-0.29430336129056955
2133646228.3189425,-0.29430336129056955
2133646228.3590593,-0.2795923677422688
2133646228.3991191,-0.2609583080343232
2133646228.43985,-0.2387994071940116
2133646228.479425,-0.22915728132529067
2133646228.5196965,-0.20896623911061185
2133646228.559234,-0.13905351648460096
2133646228.5992446,-0.10289378201949206
2133646228.638861,-0.10289378201949206
2133646228.679215,-0.045044131780173524
2133646228.7193646,-0.019244653834767145
2133646228.759059,-0.019244653834767145
2133646228.7993634,-0.0743310354911686
2133646228.8388736,-0.004981556224393668
2133646228.8787549,0.006447050582405023
2133646228.9192047,0.0012918051166579403
2133646228.9591794,0.01634790055975044
2133646228.9990113,0.047918985968690375
2133646229.03897,0.06970887789275249
2133646229.0790656,0.10189272388227866
2133646229.1192455,0.12004657420778764
2133646229.1594958,0.12769813385911954
2133646229.1993093,0.12844992149103396
2133646229.2389307,0.1698064085768971
2133646229.279707,0.19378748003337865
2133646229.319555,0.1892140854279012
2133646229.359432,0.2044056291316213
2133646229.3993497,0.2193060643477276
2133646229.438981,0.23569005715718472
2133646229.4789813,0.2509437886129948
